model,train-dataset,test-settings,test-hash,test-size,n_samples,matches,match_percentage
passgan,linkedin,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,6.51%
passgan,linkedin,all-12-000webhost-100-80,NONE,NONE,500000000,NONE,1.80%
passgan,rockyou,all-12-linkedin-100-80,NONE,NONE,500000000,NONE,4.72%
passgan,rockyou,all-12-000webhost-100-80,NONE,NONE,500000000,NONE,1.59%
passgan,000webhost,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,4.10%
passgan,000webhost,all-12-linkedin-100-80,NONE,NONE,500000000,NONE,2.27%
plrgan,linkedin,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,8.77%
plrgan,linkedin,all-12-000webhost-100-80,NONE,NONE,500000000,NONE,3.65%
plrgan,rockyou,all-12-linkedin-100-80,NONE,NONE,500000000,NONE,8.77%
plrgan,rockyou,all-12-000webhost-100-80,NONE,NONE,500000000,NONE,4.65%
plrgan,000webhost,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,5.56%
plrgan,000webhost,all-12-linkedin-100-80,NONE,NONE,500000000,NONE,3.70%
passflow,linkedin,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,6.61%
passflow,linkedin,all-12-000webhost-100-80,NONE,NONE,500000000,NONE,1.93%
passflow,rockyou,all-12-linkedin-100-80,NONE,NONE,500000000,NONE,8.16%
passflow,rockyou,all-12-000webhost-100-80,NONE,NONE,500000000,NONE,3.55%
passflow,000webhost,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,11.44%
passflow,000webhost,all-12-linkedin-100-80,NONE,NONE,500000000,NONE,6.58%
passgpt,linkedin,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,36.21%
passgpt,linkedin,all-12-000webhost-100-80,NONE,NONE,500000000,NONE,16.90%
passgpt,rockyou,all-12-linkedin-100-80,NONE,NONE,500000000,NONE,22.08%
passgpt,rockyou,all-12-000webhost-100-80,NONE,NONE,500000000,NONE,13.15%
passgpt,000webhost,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,13.77%
passgpt,000webhost,all-12-linkedin-100-80,NONE,NONE,500000000,NONE,10.41%
vgpt2,linkedin,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,11.48%
vgpt2,linkedin,all-12-000webhost-100-80,NONE,NONE,500000000,NONE,2.95%
vgpt2,rockyou,all-12-linkedin-100-80,NONE,NONE,500000000,NONE,6.93%
vgpt2,rockyou,all-12-000webhost-100-80,NONE,NONE,500000000,NONE,2.84%
vgpt2,000webhost,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,3.15%
vgpt2,000webhost,all-12-linkedin-100-80,NONE,NONE,500000000,NONE,1.87%
fla,linkedin,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,45.09%
fla,linkedin,all-12-000webhost-100-80,NONE,NONE,500000000,NONE,19.01%
fla,rockyou,all-12-linkedin-100-80,NONE,NONE,500000000,NONE,31.53%
fla,rockyou,all-12-000webhost-100-80,NONE,NONE,500000000,NONE,17.31%
fla,000webhost,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,26.72%
fla,000webhost,all-12-linkedin-100-80,NONE,NONE,500000000,NONE,22.81%