model,dataset,test-size,key,percentage
passgan,ashleymadison,11.05,r6,11.05
passgan,ashleymadison,13.27,r10,13.27
passgan,ashleymadison,22.91,r1,22.91
passgan,ashleymadison,24.14,r2,24.14
passgan,ashleymadison,56.55,r14,56.55
passgan,ashleymadison,61.78,r4,61.78
passgan,ashleymadison,23.96,r19,23.96
passgan,ashleymadison,0.0,r3,0.0
passgan,ashleymadison,0.0,r9,0.0
passgan,ashleymadison,0.0,r13,0.0
passgan,ashleymadison,4.77,r12,4.77
passgan,ashleymadison,1.37,r11,1.37
passgan,ashleymadison,1.32,r7,1.32
passgan,ashleymadison,3.33,r18,3.33
passgan,ashleymadison,0.0,r8,0.0
passgan,ashleymadison,0.0,r17,0.0
passgan,ashleymadison,0.0,r16,0.0
passgan,ashleymadison,0.0,r15,0.0
passgan,ashleymadison,0.0,r5,0.0
passgan,libero,23.79,r1,23.79
passgan,libero,26.33,r2,26.33
passgan,libero,12.54,r6,12.54
passgan,libero,15.74,r10,15.74
passgan,libero,24.42,r19,24.42
passgan,libero,57.58,r4,57.58
passgan,libero,45.94,r14,45.94
passgan,libero,0.16,r3,0.16
passgan,libero,0.06,r9,0.06
passgan,libero,0.31,r7,0.31
passgan,libero,0.35,r11,0.35
passgan,libero,1.84,r12,1.84
passgan,libero,0.0,r8,0.0
passgan,libero,0.0,r13,0.0
passgan,libero,1.09,r18,1.09
passgan,libero,0.0,r16,0.0
passgan,libero,0.0,r17,0.0
passgan,libero,0.0,r15,0.0
passgan,libero,0.0,r5,0.0
passgan,mailru,6.89,r6,6.89
passgan,mailru,5.86,r10,5.86
passgan,mailru,21.13,r19,21.13
passgan,mailru,9.53,r1,9.53
passgan,mailru,11.44,r2,11.44
passgan,mailru,64.05,r4,64.05
passgan,mailru,53.08,r14,53.08
passgan,mailru,0.19,r12,0.19
passgan,mailru,0.0,r7,0.0
passgan,mailru,0.13,r8,0.13
passgan,mailru,0.29,r13,0.29
passgan,mailru,0.05,r9,0.05
passgan,mailru,0.12,r3,0.12
passgan,mailru,0.0,r11,0.0
passgan,mailru,0.0,r15,0.0
passgan,mailru,0.29,r17,0.29
passgan,mailru,0.0,r18,0.0
passgan,mailru,0.0,r16,0.0
passgan,mailru,0.0,r5,0.0
passgan,gmail,32.76,r4,32.76
passgan,gmail,29.83,r14,29.83
passgan,gmail,4.08,r6,4.08
passgan,gmail,4.95,r10,4.95
passgan,gmail,13.59,r1,13.59
passgan,gmail,13.59,r2,13.59
passgan,gmail,11.07,r19,11.07
passgan,gmail,0.02,r9,0.02
passgan,gmail,0.19,r7,0.19
passgan,gmail,0.0,r16,0.0
passgan,gmail,1.85,r12,1.85
passgan,gmail,0.29,r15,0.29
passgan,gmail,0.19,r11,0.19
passgan,gmail,0.0,r5,0.0
passgan,gmail,0.08,r8,0.08
passgan,gmail,0.0,r17,0.0
passgan,gmail,0.13,r13,0.13
passgan,taobao,3.36,r6,3.36
passgan,taobao,3.65,r10,3.65
passgan,taobao,40.16,r4,40.16
passgan,taobao,39.04,r14,39.04
passgan,taobao,14.54,r19,14.54
passgan,taobao,4.67,r1,4.67
passgan,taobao,4.76,r2,4.76
passgan,taobao,1.68,r8,1.68
passgan,taobao,0.13,r9,0.13
passgan,taobao,0.42,r11,0.42
passgan,taobao,0.0,r3,0.0
passgan,taobao,1.83,r13,1.83
passgan,taobao,0.0,r12,0.0
passgan,taobao,0.0,r7,0.0
passgan,taobao,0.0,r18,0.0
passgan,taobao,0.0,r17,0.0
passgan,taobao,0.0,r5,0.0
passgan,taobao,0.0,r16,0.0
passgan,taobao,0.0,r15,0.0
passgan,000webhost,2.8,r6,2.8
passgan,000webhost,3.52,r10,3.52
passgan,000webhost,3.45,r19,3.45
passgan,000webhost,0.11,r9,0.11
passgan,000webhost,0.04,r11,0.04
passgan,000webhost,0.37,r14,0.37
passgan,000webhost,0.1,r12,0.1
passgan,000webhost,0.03,r7,0.03
passgan,000webhost,0.0,r18,0.0
passgan,000webhost,0.32,r8,0.32
passgan,000webhost,2.02,r1,2.02
passgan,000webhost,2.29,r2,2.29
passgan,000webhost,0.18,r13,0.18
passgan,000webhost,0.0,r16,0.0
passgan,000webhost,0.56,r17,0.56
passgan,000webhost,34.9,r4,34.9
passgan,000webhost,3.33,r5,3.33
passgan,000webhost,0.0,r15,0.0
passgan,000webhost,1.54,r3,1.54
passgan,rockyou,6.37,r6,6.37
passgan,rockyou,7.26,r10,7.26
passgan,rockyou,34.37,r4,34.37
passgan,rockyou,32.51,r14,32.51
passgan,rockyou,15.16,r19,15.16
passgan,rockyou,11.24,r1,11.24
passgan,rockyou,12.32,r2,12.32
passgan,rockyou,0.01,r9,0.01
passgan,rockyou,0.1,r13,0.1
passgan,rockyou,0.0,r18,0.0
passgan,rockyou,0.06,r3,0.06
passgan,rockyou,1.01,r12,1.01
passgan,rockyou,0.21,r7,0.21
passgan,rockyou,0.3,r11,0.3
passgan,rockyou,0.23,r8,0.23
passgan,rockyou,0.33,r17,0.33
passgan,rockyou,0.0,r5,0.0
passgan,rockyou,0.02,r16,0.02
passgan,rockyou,0.09,r15,0.09
passgan,linkedin,3.97,r1,3.97
passgan,linkedin,4.42,r2,4.42
passgan,linkedin,2.75,r6,2.75
passgan,linkedin,3.24,r10,3.24
passgan,linkedin,15.92,r4,15.92
passgan,linkedin,13.15,r14,13.15
passgan,linkedin,4.55,r19,4.55
passgan,linkedin,0.05,r7,0.05
passgan,linkedin,0.08,r9,0.08
passgan,linkedin,0.06,r13,0.06
passgan,linkedin,0.22,r3,0.22
passgan,linkedin,0.01,r16,0.01
passgan,linkedin,0.31,r12,0.31
passgan,linkedin,0.05,r11,0.05
passgan,linkedin,0.07,r18,0.07
passgan,linkedin,0.03,r17,0.03
passgan,linkedin,0.1,r15,0.1
passgan,linkedin,0.0,r5,0.0
passgan,linkedin,0.14,r8,0.14
plr_gan,ashleymadison,22.8,r1,22.8
plr_gan,ashleymadison,23.92,r2,23.92
plr_gan,ashleymadison,11.12,r6,11.12
plr_gan,ashleymadison,61.77,r14,61.77
plr_gan,ashleymadison,1.54,r3,1.54
plr_gan,ashleymadison,13.18,r10,13.18
plr_gan,ashleymadison,22.64,r19,22.64
plr_gan,ashleymadison,67.32,r4,67.32
plr_gan,ashleymadison,0.0,r9,0.0
plr_gan,ashleymadison,0.0,r11,0.0
plr_gan,ashleymadison,0.0,r18,0.0
plr_gan,ashleymadison,0.0,r17,0.0
plr_gan,ashleymadison,5.5,r12,5.5
plr_gan,ashleymadison,0.0,r7,0.0
plr_gan,ashleymadison,0.0,r16,0.0
plr_gan,ashleymadison,0.0,r13,0.0
plr_gan,ashleymadison,0.0,r8,0.0
plr_gan,ashleymadison,0.0,r5,0.0
plr_gan,ashleymadison,0.0,r15,0.0
plr_gan,libero,12.97,r6,12.97
plr_gan,libero,63.62,r4,63.62
plr_gan,libero,50.79,r14,50.79
plr_gan,libero,24.72,r1,24.72
plr_gan,libero,27.04,r2,27.04
plr_gan,libero,16.23,r10,16.23
plr_gan,libero,25.72,r19,25.72
plr_gan,libero,0.22,r9,0.22
plr_gan,libero,3.39,r3,3.39
plr_gan,libero,1.47,r12,1.47
plr_gan,libero,0.92,r7,0.92
plr_gan,libero,0.81,r11,0.81
plr_gan,libero,0.0,r18,0.0
plr_gan,libero,1.0,r13,1.0
plr_gan,libero,1.75,r8,1.75
plr_gan,libero,0.0,r16,0.0
plr_gan,libero,0.0,r17,0.0
plr_gan,libero,0.0,r5,0.0
plr_gan,libero,0.0,r15,0.0
plr_gan,mailru,10.48,r1,10.48
plr_gan,mailru,12.55,r2,12.55
plr_gan,mailru,70.54,r4,70.54
plr_gan,mailru,58.63,r14,58.63
plr_gan,mailru,1.96,r8,1.96
plr_gan,mailru,13.33,r6,13.33
plr_gan,mailru,26.1,r19,26.1
plr_gan,mailru,9.29,r10,9.29
plr_gan,mailru,0.16,r9,0.16
plr_gan,mailru,0.06,r7,0.06
plr_gan,mailru,0.26,r11,0.26
plr_gan,mailru,0.49,r12,0.49
plr_gan,mailru,0.0,r15,0.0
plr_gan,mailru,2.56,r13,2.56
plr_gan,mailru,1.44,r17,1.44
plr_gan,mailru,0.17,r3,0.17
plr_gan,mailru,0.37,r16,0.37
plr_gan,mailru,0.0,r18,0.0
plr_gan,mailru,0.0,r5,0.0
plr_gan,taobao,6.93,r6,6.93
plr_gan,taobao,7.52,r10,7.52
plr_gan,taobao,14.6,r1,14.6
plr_gan,taobao,14.88,r2,14.88
plr_gan,taobao,44.29,r4,44.29
plr_gan,taobao,43.06,r14,43.06
plr_gan,taobao,18.47,r19,18.47
plr_gan,taobao,0.0,r9,0.0
plr_gan,taobao,0.0,r11,0.0
plr_gan,taobao,0.0,r3,0.0
plr_gan,taobao,0.33,r12,0.33
plr_gan,taobao,0.0,r7,0.0
plr_gan,taobao,0.0,r8,0.0
plr_gan,taobao,0.0,r13,0.0
plr_gan,taobao,0.0,r18,0.0
plr_gan,taobao,0.0,r17,0.0
plr_gan,taobao,0.0,r16,0.0
plr_gan,taobao,0.0,r5,0.0
plr_gan,taobao,0.0,r15,0.0
plr_gan,000webhost,5.53,r6,5.53
plr_gan,000webhost,0.68,r14,0.68
plr_gan,000webhost,6.34,r19,6.34
plr_gan,000webhost,6.82,r10,6.82
plr_gan,000webhost,0.96,r9,0.96
plr_gan,000webhost,0.0,r7,0.0
plr_gan,000webhost,0.05,r11,0.05
plr_gan,000webhost,0.58,r18,0.58
plr_gan,000webhost,0.61,r8,0.61
plr_gan,000webhost,0.52,r13,0.52
plr_gan,000webhost,0.56,r12,0.56
plr_gan,000webhost,0.0,r16,0.0
plr_gan,000webhost,0.84,r17,0.84
plr_gan,000webhost,2.44,r1,2.44
plr_gan,000webhost,2.62,r2,2.62
plr_gan,000webhost,29.26,r4,29.26
plr_gan,000webhost,5.38,r3,5.38
plr_gan,000webhost,0.0,r15,0.0
plr_gan,000webhost,2.5,r5,2.5
plr_gan,rockyou,12.0,r6,12.0
plr_gan,rockyou,13.61,r10,13.61
plr_gan,rockyou,20.99,r19,20.99
plr_gan,rockyou,46.78,r4,46.78
plr_gan,rockyou,44.26,r14,44.26
plr_gan,rockyou,19.25,r1,19.25
plr_gan,rockyou,20.82,r2,20.82
plr_gan,rockyou,2.05,r7,2.05
plr_gan,rockyou,0.27,r9,0.27
plr_gan,rockyou,3.01,r3,3.01
plr_gan,rockyou,2.88,r11,2.88
plr_gan,rockyou,4.25,r18,4.25
plr_gan,rockyou,0.95,r15,0.95
plr_gan,rockyou,4.02,r12,4.02
plr_gan,rockyou,1.4,r8,1.4
plr_gan,rockyou,1.67,r13,1.67
plr_gan,rockyou,0.02,r16,0.02
plr_gan,rockyou,0.3,r17,0.3
plr_gan,rockyou,0.28,r5,0.28
plr_gan,linkedin,6.26,r6,6.26
plr_gan,linkedin,7.3,r10,7.3
plr_gan,linkedin,9.83,r19,9.83
plr_gan,linkedin,1.76,r12,1.76
plr_gan,linkedin,29.59,r4,29.59
plr_gan,linkedin,24.47,r14,24.47
plr_gan,linkedin,0.16,r9,0.16
plr_gan,linkedin,8.74,r1,8.74
plr_gan,linkedin,9.64,r2,9.64
plr_gan,linkedin,0.18,r7,0.18
plr_gan,linkedin,0.19,r11,0.19
plr_gan,linkedin,0.16,r15,0.16
plr_gan,linkedin,0.32,r18,0.32
plr_gan,linkedin,0.3,r3,0.3
plr_gan,linkedin,0.16,r13,0.16
plr_gan,linkedin,0.39,r8,0.39
plr_gan,linkedin,0.0,r16,0.0
plr_gan,linkedin,0.11,r17,0.11
plr_gan,linkedin,0.0,r5,0.0
passflow,ashleymadison,6.07,r6,6.07
passflow,ashleymadison,5.9,r10,5.9
passflow,ashleymadison,41.54,r4,41.54
passflow,ashleymadison,38.61,r14,38.61
passflow,ashleymadison,16.49,r1,16.49
passflow,ashleymadison,17.29,r2,17.29
passflow,ashleymadison,13.59,r19,13.59
passflow,ashleymadison,0.0,r9,0.0
passflow,ashleymadison,11.74,r12,11.74
passflow,ashleymadison,0.84,r3,0.84
passflow,ashleymadison,0.0,r17,0.0
passflow,ashleymadison,0.0,r7,0.0
passflow,ashleymadison,0.0,r13,0.0
passflow,ashleymadison,0.0,r18,0.0
passflow,ashleymadison,0.0,r11,0.0
passflow,ashleymadison,0.0,r5,0.0
passflow,ashleymadison,0.0,r16,0.0
passflow,ashleymadison,0.0,r8,0.0
passflow,ashleymadison,0.0,r15,0.0
passflow,libero,2.54,r6,2.54
passflow,libero,3.03,r10,3.03
passflow,libero,9.32,r1,9.32
passflow,libero,10.3,r2,10.3
passflow,libero,12.53,r19,12.53
passflow,libero,52.77,r4,52.77
passflow,libero,42.12,r14,42.12
passflow,libero,0.05,r3,0.05
passflow,libero,0.0,r9,0.0
passflow,libero,0.0,r11,0.0
passflow,libero,0.0,r7,0.0
passflow,libero,2.21,r12,2.21
passflow,libero,0.0,r16,0.0
passflow,libero,0.0,r18,0.0
passflow,libero,0.0,r13,0.0
passflow,libero,0.0,r8,0.0
passflow,libero,0.0,r17,0.0
passflow,libero,0.0,r15,0.0
passflow,libero,0.0,r5,0.0
passflow,mailru,79.98,r4,79.98
passflow,mailru,66.63,r14,66.63
passflow,mailru,9.79,r1,9.79
passflow,mailru,11.7,r2,11.7
passflow,mailru,0.0,r7,0.0
passflow,mailru,14.36,r6,14.36
passflow,mailru,8.38,r10,8.38
passflow,mailru,29.45,r19,29.45
passflow,mailru,0.0,r9,0.0
passflow,mailru,0.0,r17,0.0
passflow,mailru,0.52,r8,0.52
passflow,mailru,0.49,r12,0.49
passflow,mailru,0.06,r3,0.06
passflow,mailru,0.0,r11,0.0
passflow,mailru,0.44,r18,0.44
passflow,mailru,0.98,r13,0.98
passflow,mailru,0.0,r16,0.0
passflow,mailru,0.0,r15,0.0
passflow,mailru,0.0,r5,0.0
passflow,gmail,5.19,r6,5.19
passflow,gmail,5.57,r10,5.57
passflow,gmail,12.29,r19,12.29
passflow,gmail,14.17,r1,14.17
passflow,gmail,14.17,r2,14.17
passflow,gmail,33.2,r4,33.2
passflow,gmail,30.5,r14,30.5
passflow,gmail,1.82,r9,1.82
passflow,gmail,6.15,r12,6.15
passflow,gmail,10.46,r7,10.46
passflow,gmail,5.16,r11,5.16
passflow,gmail,41.5,r15,41.5
passflow,gmail,22.04,r16,22.04
passflow,gmail,5.41,r8,5.41
passflow,gmail,5.7,r13,5.7
passflow,gmail,9.68,r17,9.68
passflow,gmail,29.81,r5,29.81
passflow,taobao,56.56,r4,56.56
passflow,taobao,54.98,r14,54.98
passflow,taobao,7.09,r6,7.09
passflow,taobao,7.7,r10,7.7
passflow,taobao,21.6,r19,21.6
passflow,taobao,6.74,r1,6.74
passflow,taobao,6.87,r2,6.87
passflow,taobao,0.0,r9,0.0
passflow,taobao,0.5,r12,0.5
passflow,taobao,0.29,r3,0.29
passflow,taobao,0.0,r7,0.0
passflow,taobao,0.22,r8,0.22
passflow,taobao,0.0,r13,0.0
passflow,taobao,0.0,r11,0.0
passflow,taobao,0.0,r18,0.0
passflow,taobao,10.53,r5,10.53
passflow,taobao,0.0,r16,0.0
passflow,taobao,2.63,r17,2.63
passflow,taobao,0.0,r15,0.0
passflow,000webhost,0.06,r9,0.06
passflow,000webhost,0.0,r11,0.0
passflow,000webhost,2.86,r6,2.86
passflow,000webhost,3.4,r10,3.4
passflow,000webhost,1.05,r14,1.05
passflow,000webhost,4.85,r19,4.85
passflow,000webhost,14.24,r4,14.24
passflow,000webhost,0.0,r7,0.0
passflow,000webhost,4.15,r1,4.15
passflow,000webhost,4.51,r2,4.51
passflow,000webhost,1.3,r12,1.3
passflow,000webhost,0.0,r18,0.0
passflow,000webhost,0.09,r8,0.09
passflow,000webhost,0.05,r13,0.05
passflow,000webhost,0.0,r16,0.0
passflow,000webhost,0.28,r17,0.28
passflow,000webhost,6.92,r3,6.92
passflow,000webhost,0.0,r15,0.0
passflow,000webhost,16.67,r5,16.67
passflow,rockyou,38.92,r4,38.92
passflow,rockyou,36.97,r14,36.97
passflow,rockyou,11.5,r6,11.5
passflow,rockyou,12.12,r10,12.12
passflow,rockyou,0.09,r9,0.09
passflow,rockyou,1.57,r11,1.57
passflow,rockyou,19.4,r19,19.4
passflow,rockyou,20.34,r1,20.34
passflow,rockyou,21.92,r2,21.92
passflow,rockyou,3.75,r3,3.75
passflow,rockyou,1.1,r7,1.1
passflow,rockyou,1.76,r18,1.76
passflow,rockyou,5.47,r12,5.47
passflow,rockyou,0.0,r17,0.0
passflow,rockyou,0.52,r15,0.52
passflow,rockyou,0.0,r16,0.0
passflow,rockyou,0.31,r8,0.31
passflow,rockyou,0.56,r13,0.56
passflow,rockyou,0.0,r5,0.0
passflow,linkedin,5.71,r1,5.71
passflow,linkedin,6.38,r2,6.38
passflow,linkedin,5.59,r4,5.59
passflow,linkedin,4.79,r14,4.79
passflow,linkedin,2.93,r6,2.93
passflow,linkedin,3.05,r10,3.05
passflow,linkedin,5.5,r19,5.5
passflow,linkedin,0.98,r12,0.98
passflow,linkedin,0.01,r9,0.01
passflow,linkedin,0.09,r11,0.09
passflow,linkedin,0.11,r18,0.11
passflow,linkedin,0.14,r7,0.14
passflow,linkedin,0.01,r17,0.01
passflow,linkedin,0.0,r16,0.0
passflow,linkedin,0.0,r3,0.0
passflow,linkedin,0.04,r8,0.04
passflow,linkedin,0.13,r15,0.13
passflow,linkedin,0.03,r13,0.03
passflow,linkedin,0.0,r5,0.0
passgpt,ashleymadison,48.34,r1,48.34
passgpt,ashleymadison,50.24,r2,50.24
passgpt,ashleymadison,34.89,r6,34.89
passgpt,ashleymadison,40.3,r10,40.3
