model,train-dataset,test-settings,test-hash,#gen,#matches,match_percentage,#uniques,
hashcat,rockyou,rockyou-12,None,1000000,35269,1.04,949962,
hashcat,rockyou,rockyou-12,None,2500000,74268,2.18,2363407,
hashcat,rockyou,rockyou-12,None,5000000,126063,3.70,4701527,
hashcat,rockyou,rockyou-12,None,7500000,167811,4.93,7026420,
hashcat,rockyou,rockyou-12,None,10000000,203114,5.96,9344474,
hashcat,rockyou,rockyou-12,None,25000000,354335,10.40,23159569,
hashcat,rockyou,rockyou-12,None,50000000,499797,14.67,46117445,
hashcat,rockyou,rockyou-12,None,75000000,600571,17.63,68993748,
hashcat,rockyou,rockyou-12,None,100000000,686530,20.16,91694055,
hashcat,rockyou,rockyou-12,None,250000000,921243,27.05,230084776,
hashcat,rockyou,rockyou-12,None,500000000,1155317,33.92,458447955,
hashcat,ashleymadison,ashleymadison-12,None,1000000,1271,1.71,934359,
hashcat,ashleymadison,ashleymadison-12,None,2500000,2848,3.83,2330962,
hashcat,ashleymadison,ashleymadison-12,None,5000000,5023,6.76,4647482,
hashcat,ashleymadison,ashleymadison-12,None,7500000,6825,9.18,6956214,
hashcat,ashleymadison,ashleymadison-12,None,10000000,8519,11.46,9254433,
hashcat,ashleymadison,ashleymadison-12,None,25000000,15358,20.66,22908423,
hashcat,ashleymadison,ashleymadison-12,None,50000000,22526,30.31,45305964,
hashcat,ashleymadison,ashleymadison-12,None,75000000,27596,37.13,67293098,
hashcat,ashleymadison,ashleymadison-12,None,100000000,29455,39.63,87700103,
hashcat,ashleymadison,ashleymadison-12,None,250000000,35309,47.51,208936507,
hashcat,ashleymadison,ashleymadison-12,None,500000000,39251,52.81,409690995,
hashcat,000webhost,000webhost-12,None,1000000,9444,0.46,937050,
hashcat,000webhost,000webhost-12,None,2500000,18271,0.88,2339459,
hashcat,000webhost,000webhost-12,None,5000000,29564,1.43,4672969,
hashcat,000webhost,000webhost-12,None,7500000,38261,1.85,7004229,
hashcat,000webhost,000webhost-12,None,10000000,46241,2.23,9331620,
hashcat,000webhost,000webhost-12,None,25000000,79026,3.82,23273667,
hashcat,000webhost,000webhost-12,None,50000000,116027,5.60,46432848,
hashcat,000webhost,000webhost-12,None,75000000,138653,6.70,69618725,
hashcat,000webhost,000webhost-12,None,100000000,159408,7.70,92748732,
hashcat,000webhost,000webhost-12,None,250000000,224205,10.83,232082933,
hashcat,000webhost,000webhost-12,None,500000000,275027,13.28,464967526,
hashcat,gmail,gmail-12,None,1000000,12285,1.72,930730,
hashcat,gmail,gmail-12,None,2500000,25810,3.60,2312081,
hashcat,gmail,gmail-12,None,5000000,41653,5.82,4597393,
hashcat,gmail,gmail-12,None,7500000,53594,7.49,6869480,
hashcat,gmail,gmail-12,None,10000000,63561,8.88,9135092,
hashcat,gmail,gmail-12,None,25000000,100025,13.97,22722526,
hashcat,gmail,gmail-12,None,50000000,133782,18.69,45262095,
hashcat,gmail,gmail-12,None,75000000,146491,20.46,68267428,
hashcat,gmail,gmail-12,None,100000000,157800,22.04,91214633,
hashcat,gmail,gmail-12,None,250000000,207387,28.97,227898379,
hashcat,gmail,gmail-12,None,500000000,258282,36.08,452831065,
hashcat,libero,libero-12,None,1000000,4297,4.54,933226,
hashcat,libero,libero-12,None,2500000,8074,8.53,2313503,
hashcat,libero,libero-12,None,5000000,11976,12.66,4603757,
hashcat,libero,libero-12,None,7500000,14654,15.49,6883100,
hashcat,libero,libero-12,None,10000000,15910,16.82,9207406,
hashcat,libero,libero-12,None,25000000,21535,22.76,23099931,
hashcat,libero,libero-12,None,50000000,27702,29.28,46109610,
hashcat,libero,libero-12,None,75000000,32618,34.47,68487578,
hashcat,libero,libero-12,None,100000000,34545,36.51,90050947,
hashcat,libero,libero-12,None,250000000,40379,42.68,219820515,
hashcat,libero,libero-12,None,500000000,44102,46.61,434456491,
hashcat,mailru,mailru-12,None,1000000,18488,3.71,908310,
hashcat,mailru,mailru-12,None,2500000,31609,6.34,2257893,
hashcat,mailru,mailru-12,None,5000000,44731,8.97,4506895,
hashcat,mailru,mailru-12,None,7500000,53685,10.77,6755646,
hashcat,mailru,mailru-12,None,10000000,60849,12.21,9001660,
hashcat,mailru,mailru-12,None,25000000,80183,16.09,22703390,
hashcat,mailru,mailru-12,None,50000000,99335,19.93,45523966,
hashcat,mailru,mailru-12,None,75000000,109393,21.95,68497351,
hashcat,mailru,mailru-12,None,100000000,117955,23.66,91398074,
hashcat,mailru,mailru-12,None,250000000,152861,30.67,227646260,
hashcat,mailru,mailru-12,None,500000000,185164,37.15,442679097,
hashcat,linkedin,linkedin-12,None,1000000,22166,0.22,964845,
hashcat,linkedin,linkedin-12,None,2500000,51971,0.52,2402923,
hashcat,linkedin,linkedin-12,None,5000000,69049,0.69,4800955,
hashcat,linkedin,linkedin-12,None,7500000,76979,0.77,7200346,
hashcat,linkedin,linkedin-12,None,10000000,84668,0.85,9598166,
hashcat,linkedin,linkedin-12,None,25000000,130437,1.31,23963258,
hashcat,linkedin,linkedin-12,None,50000000,202337,2.03,47844105,
hashcat,linkedin,linkedin-12,None,75000000,269484,2.70,71664940,
hashcat,linkedin,linkedin-12,None,100000000,333532,3.34,95436657,
hashcat,linkedin,linkedin-12,None,250000000,666999,6.68,237216712,
hashcat,linkedin,linkedin-12,None,500000000,1100053,11.02,471169066,
hashcat,taobao,taobao-12,None,1000000,16066,1.32,910540,
hashcat,taobao,taobao-12,None,2500000,27523,2.26,2267158,
hashcat,taobao,taobao-12,None,5000000,39626,3.26,4522200,
hashcat,taobao,taobao-12,None,7500000,48954,4.02,6767637,
hashcat,taobao,taobao-12,None,10000000,56301,4.63,9013830,
hashcat,taobao,taobao-12,None,25000000,83272,6.84,22513095,
hashcat,taobao,taobao-12,None,50000000,110216,9.05,44986886,
hashcat,taobao,taobao-12,None,75000000,121165,9.95,67912122,
hashcat,taobao,taobao-12,None,100000000,131101,10.77,90789038,
hashcat,taobao,taobao-12,None,250000000,179149,14.72,227322023,
hashcat,taobao,taobao-12,None,500000000,235960,19.38,452575381,
JtR,rockyou,rockyou-12,None,1000000,422,0.12,999997,
JtR,rockyou,rockyou-12,None,2500000,1058,0.03,2499988,
JtR,rockyou,rockyou-12,None,5000000,​​2111,0.06,4999944,
JtR,rockyou,rockyou-12,None,7500000,3159,0.09,7499876,
JtR,rockyou,rockyou-12,None,10000000,4352,0.12,9999776,
JtR,rockyou,rockyou-12,None,25000000,11918,0.34,24998452,
JtR,rockyou,rockyou-12,None,50000000,24010,0.7,49993611,
JtR,rockyou,rockyou-12,None,75000000,35537,1.04,74985543,
JtR,rockyou,rockyou-12,None,100000000,47020,1.38,99974484,
JtR,rockyou,rockyou-12,None,250000000,127113,3.73,249840552,
JtR,rockyou,rockyou-12,None,500000000,235155,6.9,499398990,
JtR,ashleymadison,ashleymadison-12,None,1000000,1402,1.88%,1000000,
JtR,ashleymadison,ashleymadison-12,None,2500000,3100,4.17%,2500000,
JtR,ashleymadison,ashleymadison-12,None,5000000,5367,7.22%,4999993,
JtR,ashleymadison,ashleymadison-12,None,7500000,7070,9.51%,7499963,
JtR,ashleymadison,ashleymadison-12,None,10000000,8307,11.17%,9999832,
JtR,ashleymadison,ashleymadison-12,None,25000000,13520,18.19%,24992535,
JtR,ashleymadison,ashleymadison-12,None,50000000,16909,22.75%,49915956,
JtR,ashleymadison,ashleymadison-12,None,75000000,19236,25.88%,74737190,
JtR,ashleymadison,ashleymadison-12,None,100000000,20825,28.02%,99513625,
JtR,ashleymadison,ashleymadison-12,None,250000000,25647,34.50%,247470402,
JtR,ashleymadison,ashleymadison-12,None,500000000,28470,38.30%,494668142,
JtR,000webhost,000webhost-12,None,1000000,115,0.00%,999999,
JtR,000webhost,000webhost-12,None,2500000,241,0.01%,2499993,
JtR,000webhost,000webhost-12,None,5000000,498,0.02%,4999971,
JtR,000webhost,000webhost-12,None,7500000,897,0.04%,7499951,
JtR,000webhost,000webhost-12,None,10000000,1232,0.05%,9999909,
JtR,000webhost,000webhost-12,None,25000000,3884,0.18%,24999097,
JtR,000webhost,000webhost-12,None,50000000,7516,0.36%,49996511,
JtR,000webhost,000webhost-12,None,75000000,12659,0.61%,74992299,
JtR,000webhost,000webhost-12,None,100000000,15991,0.77%,99985943,
JtR,000webhost,000webhost-12,None,250000000,36255,1.75%,249915211,
JtR,000webhost,000webhost-12,None,500000000,63714,3.07%,499690850,
JtR,gmail,gmail-12,None,1000000,128,0.01%,999998,
JtR,gmail,gmail-12,None,2500000,658,0.09%,2499981,
JtR,gmail,gmail-12,None,5000000,1350,0.18%,4999933,
JtR,gmail,gmail-12,None,7500000,1951,0.27%,7499840,
JtR,gmail,gmail-12,None,10000000,2784,0.38%,9999720,
JtR,gmail,gmail-12,None,25000000,6714,0.93%,24997397,
JtR,gmail,gmail-12,None,50000000,14972,2.09%,49985412,
JtR,gmail,gmail-12,None,75000000,19001,2.65%,74970521,
JtR,gmail,gmail-12,None,100000000,27720,3.87%,99941482,
JtR,gmail,gmail-12,None,250000000,55807,7.79%,249673746,
JtR,gmail,gmail-12,None,500000000,90387,12.62%,498831354,
JtR,libero,libero-12,None,1000000,1104,1.16%,1000000,
JtR,libero,libero-12,None,2500000,2009,2.12%,2500000,
JtR,libero,libero-12,None,5000000,6750,7.13%,4999998,
JtR,libero,libero-12,None,7500000,7730,8.16%,7499987,
JtR,libero,libero-12,None,10000000,8201,8.66%,9999927,
JtR,libero,libero-12,None,25000000,14132,14.93%,24996438,
JtR,libero,libero-12,None,50000000,17392,18.38%,49947906,
JtR,libero,libero-12,None,75000000,22153,23.41%,74851112,
JtR,libero,libero-12,None,100000000,25062,26.48%,99729410,
JtR,libero,libero-12,None,250000000,30967,32.72%,248423672,
JtR,libero,libero-12,None,500000000,34979,36.96%,496746880,
JtR,mailru,mailru-12,None,1000000,124,0.02%,999996,
JtR,mailru,mailru-12,None,2500000,467,0.09%,2499986,
JtR,mailru,mailru-12,None,5000000,1223,0.24%,4999937,
JtR,mailru,mailru-12,None,7500000,2123,0.42%,7499848,
JtR,mailru,mailru-12,None,10000000,2629,0.52%,9999718,
JtR,mailru,mailru-12,None,25000000,8185,1.64%,24996383,
JtR,mailru,mailru-12,None,50000000,14034,2.81%,49982144,
JtR,mailru,mailru-12,None,75000000,21556,4.32%,74960182,
JtR,mailru,mailru-12,None,100000000,29532,5.92%,99927969,
JtR,mailru,mailru-12,None,250000000,51358,10.30%,249634557,
JtR,mailru,mailru-12,None,500000000,81423,16.33%,498678886,
JtR,linkedin,linkedin-12,None,1000000,351,0.00%,999999,
JtR,linkedin,linkedin-12,None,2500000,845,0.00%,2499992,
JtR,linkedin,linkedin-12,None,5000000,1685,0.01%,4999976,
JtR,linkedin,linkedin-12,None,7500000,2587,0.02%,7499947,
JtR,linkedin,linkedin-12,None,10000000,3444,0.03%,9999920,
JtR,linkedin,linkedin-12,None,25000000,8340,0.08%,24999432,
JtR,linkedin,linkedin-12,None,50000000,16959,0.16%,49997570,
JtR,linkedin,linkedin-12,None,75000000,25773,0.25%,74994599,
JtR,linkedin,linkedin-12,None,100000000,35282,0.35%,99990298,
JtR,linkedin,linkedin-12,None,250000000,86290,0.86%,249942071,
JtR,linkedin,linkedin-12,None,500000000,170836,1.71%,499771324,
JtR,taobao,taobao-12,None,1000000,133,0.01%,999995,
JtR,taobao,taobao-12,None,2500000,326,0.02%,2499979,
JtR,taobao,taobao-12,None,5000000,794,0.06%,4999944,
JtR,taobao,taobao-12,None,7500000,1256,0.10%,7499876, 
JtR,taobao,taobao-12,None,10000000,1647,0.13%,9999755,
JtR,taobao,taobao-12,None,25000000,4323,0.35%,24998081,
JtR,taobao,taobao-12,None,50000000,8662,0.71%,49991749,
JtR,taobao,taobao-12,None,75000000,14603,1.19%,74979109,
JtR,taobao,taobao-12,None,100000000,20284,1.66%,99960715,
JtR,taobao,taobao-12,None,250000000,46311,3.80%,249776829,
JtR,taobao,taobao-12,None,500000000,79898,6.56%,499198900,