model,train-dataset,test-settings,test-hash,test-size,#gen,#matches,match_percentage,#uniques
PassGAN,rockyou,all-12-850000-80,NULL,NULL,500000000,327024,9.60%,219119125
PassGAN,rockyou,all-12-1785681-80,NULL,NULL,500000000,x,11.31%,201618272
PassGAN,rockyou,all-12-2700000-80,NULL,NULL,500000000,x,12.78%,272349120
PassGAN,rockyou,all-12-4710736-80,NULL,NULL,500000000,416248,12.22%,223640412
PassGAN,rockyou,all-12-11802325-80,NULL,NULL,500000000,421129,12.36%,257392549
PassGAN,linkedin,all-12-850000-80,NULL,NULL,500000000,441552,4.42%,315490390
PassGAN,linkedin,all-12-1785681-80,NULL,NULL,500000000,438003,4.38%,339177012
PassGAN,linkedin,all-12-2700000-80,NULL,NULL,500000000,378897,3.79%,329625777
PassGAN,linkedin,all-12-4710736-80,NULL,NULL,500000000,252334,2.52%,123631602
PassGAN,linkedin,all-12-11802325-80,NULL,NULL,500000000,332759,3.33%,341560638
PassGAN,linkedin,all-12-20000000-80,NULL,NULL,500000000,486422,4.87%,343896740
PassGAN,linkedin,all-12-40000000-80,NULL,NULL,500000000,399042,3.99%,328851376
PassGAN,mailru,all-12-850000-80,NULL,NULL,500000000,63488,12.73%,235666340
PassGAN,mailru,all-12-1785681-80,NULL,NULL,500000000,80560,16.16%,263845812
PassGAN,taobao,all-12-850000-80,NULL,NULL,500000000,160190,13.15%,314945274
PassGAN,taobao,all-12-1785681-80,NULL,NULL,500000000,x,10.16%,263035582
PassGAN,taobao,all-12-2700000-80,NULL,NULL,500000000,x,10.80%,296445337
PassGAN,taobao,all-12-4710736-80,NULL,NULL,500000000,147458,12.11%,275315359
PLR-GAN,rockyou,all-12-850000-80,NULL,NULL,500000000,656957,19.29%,368201970
PLR-GAN,rockyou,all-12-1785681-80,NULL,NULL,500000000,654421,19.21%,373344876
PLR-GAN,rockyou,all-12-2700000-80,NULL,NULL,500000000,602612,17.69%,368407208
PLR-GAN,rockyou,all-12-4710736-80,NULL,NULL,500000000,615378,18.06%,380586028
PLR-GAN,rockyou,all-12-11802325-80,NULL,NULL,500000000,669428,19.65%,380428211
PLR-GAN,linkedin,all-12-850000-80,NULL,NULL,500000000,782620,7.83%,445192638
PLR-GAN,linkedin,all-12-1785681-80,NULL,NULL,500000000,807506,8.08%,444680598
PLR-GAN,linkedin,all-12-2700000-80,NULL,NULL,500000000,791631,7.92%,443711428
PLR-GAN,linkedin,all-12-4710736-80,NULL,NULL,500000000,837460,8.38%,448180120
PLR-GAN,linkedin,all-12-11802325-80,NULL,NULL,500000000,652661,6.53%,444433629
PLR-GAN,linkedin,all-12-20000000-80,NULL,NULL,500000000,711228,7.12%,445881284
PLR-GAN,linkedin,all-12-40000000-80,NULL,NULL,500000000,842732,8.44%,445820345
PLR-GAN,mailru,all-12-850000-80,NULL,NULL,500000000,106016,21.26%,334174102
PLR-GAN,mailru,all-12-1785681-80,NULL,NULL,500000000,106192,21.30%,334908798
PLR-GAN,taobao,all-12-850000-80,NULL,NULL,500000000,200254,16.45%,362589670
PLR-GAN,taobao,all-12-1785681-80,NULL,NULL,500000000,198353,16.29%,359219545
PLR-GAN,taobao,all-12-2700000-80,NULL,NULL,500000000,195393,16.05%,351328478
PLR-GAN,taobao,all-12-4710736-80,NULL,NULL,500000000,204757,16.82%,369287700
PassFlow,rockyou,all-12-850000-80,NULL,NULL,500000000,620294,18.21%,480062578
PassFlow,rockyou,all-12-1785681-80,NULL,NULL,500000000,625248,18.35%,486558349
PassFlow,rockyou,all-12-2700000-80,NULL,NULL,500000000,658105,19.32%,468221060
PassFlow,rockyou,all-12-4710736-80,NULL,NULL,500000000,659093,19.35%,478607286
PassFlow,rockyou,all-12-11802325-80,NULL,NULL,500000000,628891,18.46%,487825102
PassFlow,linkedin,all-12-850000-80,NULL,NULL,500000000,705643,7.06%,484413682
PassFlow,linkedin,all-12-1785681-80,NULL,NULL,500000000,711348,7.12%,464732653
PassFlow,linkedin,all-12-2700000-80,NULL,NULL,500000000,687603,6.88%,483607359
PassFlow,linkedin,all-12-4710736-80,NULL,NULL,500000000,683869,6.84%,481626692
PassFlow,linkedin,all-12-11802325-80,NULL,NULL,500000000,699173,7.00%,481410289
PassFlow,linkedin,all-12-20000000-80,NULL,NULL,500000000,712026,7.13%,481027864
PassFlow,linkedin,all-12-40000000-80,NULL,NULL,500000000,709158,7.10%,475965710
PassFlow,mailru,all-12-850000-80,NULL,NULL,500000000,118491,23.27%,459440115
PassFlow,mailru,all-12-1785681-80,NULL,NULL,500000000,115869,23.24%,481376725
PassFlow,taobao,all-12-850000-80,NULL,NULL,500000000,214004,17.58%,405771000
PassFlow,taobao,all-12-1785681-80,NULL,NULL,500000000,227103,18.65%,458976278
PassFlow,taobao,all-12-2700000-80,NULL,NULL,500000000,209593,17.21%,383247902
PassFlow,taobao,all-12-4710736-80,NULL,NULL,500000000,225153,18.49%,441474920
PassGPT,rockyou,all-12-850000-80,NULL,NULL,500000000,1055249,30.98%,385215811
PassGPT,rockyou,all-12-1785681-80,NULL,NULL,500000000,1420809,41.72%,364086779
PassGPT,rockyou,all-12-2700000-80,NULL,NULL,500000000,1498819,44.01%,361456417
PassGPT,rockyou,all-12-4710736-80,NULL,NULL,500000000,1580268,46.40%,358833891
PassGPT,rockyou,all-12-11802325-80,NULL,NULL,500000000,1663950,48.85%,361507890
PassGPT,linkedin,all-12-850000-80,NULL,NULL,500000000,1246494,12.49%,443202174
PassGPT,linkedin,all-12-1785681-80,NULL,NULL,500000000,1794105,17.97%,425627533
PassGPT,linkedin,all-12-2700000-80,NULL,NULL,500000000,1971583,19.75%,422754141
PassGPT,linkedin,all-12-4710736-80,NULL,NULL,500000000,2196855,22.00%,420632243
PassGPT,linkedin,all-12-11802325-80,NULL,NULL,500000000,2523000,25.27%,415966761
PassGPT,linkedin,all-12-20000000-80,NULL,NULL,500000000,2686401,26.91%,410675460
PassGPT,linkedin,all-12-40000000-80,NULL,NULL,500000000,2853447,28.58%,403951523
PassGPT,mailru,all-12-850000-80,NULL,NULL,500000000,164129,32.93%,368819907
PassGPT,mailru,all-12-1785681-80,NULL,NULL,500000000,201153,40.35%,354252862
PassGPT,taobao,all-12-850000-80,NULL,NULL,500000000,334926,27.51%,394596015
PassGPT,taobao,all-12-1785681-80,NULL,NULL,500000000,354351,29.11%,395712119
PassGPT,taobao,all-12-2700000-80,NULL,NULL,500000000,362930,29.81%,397646436
PassGPT,taobao,all-12-4710736-80,NULL,NULL,500000000,374932,30.80%,399077768
VGPT2,rockyou,all-12-850000-80,NULL,NULL,500000000,203520,5.97%,406297973
VGPT2,rockyou,all-12-1785681-80,NULL,NULL,500000000,468437,13.75%,458340363
VGPT2,rockyou,all-12-2700000-80,NULL,NULL,500000000,519717,15.25%,466921862
VGPT2,rockyou,all-12-4710736-80,NULL,NULL,500000000,561687,16.49%,465782993
VGPT2,rockyou,all-12-11802325-80,NULL,NULL,500000000,609988,17.90%,468890150
VGPT2,linkedin,all-12-850000-80,NULL,NULL,500000000,147830,1.48%,449183922
VGPT2,linkedin,all-12-1785681-80,NULL,NULL,500000000,444272,4.44%,486562416
VGPT2,linkedin,all-12-2700000-80,NULL,NULL,500000000,454484,4.55%,487476470
VGPT2,linkedin,all-12-4710736-80,NULL,NULL,500000000,537949,5.38%,484682540
VGPT2,linkedin,all-12-11802325-80,NULL,NULL,500000000,596873,5.97%,485924846
VGPT2,linkedin,all-12-20000000-80,NULL,NULL,500000000,632295,6.33%,485168231
VGPT2,linkedin,all-12-40000000-80,NULL,NULL,500000000,655173,6.56%,486208494
VGPT2,mailru,all-12-850000-80,NULL,NULL,500000000,31150,6.25%,440380565
VGPT2,mailru,all-12-1785681-80,NULL,NULL,500000000,84253,16.90%,474879593
VGPT2,taobao,all-12-850000-80,NULL,NULL,500000000,51710,4.24%,438201863
VGPT2,taobao,all-12-1785681-80,NULL,NULL,500000000,137422,11.28%,475206443
VGPT2,taobao,all-12-2700000-80,NULL,NULL,500000000,138457,11.37%,479821845
VGPT2,taobao,all-12-4710736-80,NULL,NULL,500000000,152956,12.56%,478306086
FLA,rockyou,all-12-850000-80,NULL,NULL,500000000,1911559,56.13%,500000000
FLA,rockyou,all-12-1785681-80,NULL,NULL,500000000,1953690,57.36%,500000000
FLA,rockyou,all-12-2700000-80,NULL,NULL,500000000,2058895,60.45%,500000000
FLA,rockyou,all-12-4710736-80,NULL,NULL,500000000,2046396,60.08%,500000000
FLA,rockyou,all-12-11802325-80,NULL,NULL,500000000,2059695,60.47%,500000000
FLA,linkedin,all-12-850000-80,NULL,NULL,500000000,1845289,18.48%,500000000
FLA,linkedin,all-12-1785681-80,NULL,NULL,500000000,2456549,24.61%,500000000
FLA,linkedin,all-12-2700000-80,NULL,NULL,500000000,2925465,29.30%,500000000
FLA,linkedin,all-12-4710736-80,NULL,NULL,500000000,3782817,37.89%,500000000
FLA,linkedin,all-12-11802325-80,NULL,NULL,500000000,4097825,41.05%,500000000
FLA,linkedin,all-12-20000000-80,NULL,NULL,500000000,3504305,35.10%,500000000
FLA,linkedin,all-12-40000000-80,NULL,NULL,500000000,3631686,36.37%,500000000
FLA,mailru,all-12-850000-80,NULL,NULL,500000000,264853,53.14%,500000000
FLA,mailru,all-12-1785681-80,NULL,NULL,500000000,273891,54.95%,500000000
FLA,taobao,all-12-850000-80,NULL,NULL,500000000,522723,42.94%,500000000
FLA,taobao,all-12-1785681-80,NULL,NULL,500000000,537060,44.12%,500000000
FLA,taobao,all-12-2700000-80,NULL,NULL,500000000,545183,44.79%,500000000
FLA,taobao,all-12-4710736-80,NULL,NULL,500000000,554337,45.53%,500000000