Dataset,Test,Combo,Settings,Mergeability
ashleymadison,matches,fla_passflow,all-12-100-80,0.01151615745578984
ashleymadison,matches,fla_passgan,all-12-100-80,0.00950800188520727
ashleymadison,matches,fla_passgpt,all-12-100-80,0.022376590643634352
ashleymadison,matches,fla_plr-gan,all-12-100-80,0.009917829552673101
gmail,matches,fla_passflow,all-12-100-80,0.01156067939631123
ashleymadison,matches,fla_vgpt2,all-12-100-80,0.0007581811848117867
ashleymadison,matches,passflow_passgan,all-12-100-80,0.18816160350767303
ashleymadison,matches,passflow_passgpt,all-12-100-80,0.03212055715658021
ashleymadison,matches,passflow_plr-gan,all-12-100-80,0.15924262653234617
ashleymadison,matches,passflow_vgpt2,all-12-100-80,0.011726570693107065
ashleymadison,matches,passgan_passgpt,all-12-100-80,0.03803434197886647
ashleymadison,matches,passgan_plr-gan,all-12-100-80,0.29433183638791116
ashleymadison,matches,passgan_vgpt2,all-12-100-80,0.00576224477013654
ashleymadison,matches,passgpt_plr-gan,all-12-100-80,0.03629322766570605
ashleymadison,matches,passgpt_vgpt2,all-12-100-80,0.0012908261287223823
ashleymadison,matches,plr-gan_vgpt2,all-12-100-80,0.0055221797439165
libero,matches,fla_passflow,all-12-100-80,0.0016265730673743685
gmail,matches,fla_passgan,all-12-100-80,0.006410003647368473
gmail,matches,fla_passgpt,all-12-100-80,0.024087418550318897
gmail,matches,fla_plr-gan,all-12-100-80,0.009180032136273572
gmail,matches,fla_vgpt2,all-12-100-80,0.008494918328519464
gmail,matches,passflow_passgan,all-12-100-80,0.33188802592613287
gmail,matches,passflow_passgpt,all-12-100-80,0.03081541487937488
gmail,matches,passflow_plr-gan,all-12-100-80,0.17437061327345713
gmail,matches,passflow_vgpt2,all-12-100-80,0.30113771158031544
000webhost,matches,fla_passflow,all-12-100-80,0.0035349379927296664
mailru,matches,fla_passflow,all-12-100-80,0.004373986826924481
taobao,matches,fla_passflow,all-12-100-80,0.010635975791249131
gmail,matches,passgan_passgpt,all-12-100-80,0.028807273025327176
mailru,matches,fla_passgan,all-12-100-80,0.002446219677829217
000webhost,matches,fla_passgan,all-12-100-80,0.003341959998204856
gmail,matches,passgan_plr-gan,all-12-100-80,0.17188295062635792
gmail,matches,passgan_vgpt2,all-12-100-80,0.3260786599139754
mailru,matches,fla_passgpt,all-12-100-80,0.009167847180640544
taobao,matches,fla_passgan,all-12-100-80,0.008290865796570727
linkedin,matches,fla_passflow,all-12-100-80,0.0073354339181763185
gmail,matches,passgpt_plr-gan,all-12-100-80,0.043642933253189804
mailru,matches,fla_plr-gan,all-12-100-80,0.0028514889080367444
gmail,matches,passgpt_vgpt2,all-12-100-80,0.037867817819185266
mailru,matches,fla_vgpt2,all-12-100-80,0.002920859316811006
gmail,matches,plr-gan_vgpt2,all-12-100-80,0.2274173747294285
000webhost,matches,fla_passgpt,all-12-100-80,0.015822699597588523
mailru,matches,passflow_passgan,all-12-100-80,0.10044014844221973
taobao,matches,fla_passgpt,all-12-100-80,0.021499246858905554
mailru,matches,passflow_passgpt,all-12-100-80,0.04235581870516473
rockyou,matches,fla_passflow,all-12-100-80,0.01006265002213919
000webhost,matches,fla_plr-gan,all-12-100-80,0.0060840426645922775
mailru,matches,passflow_plr-gan,all-12-100-80,0.15147147665487184
mailru,matches,passflow_vgpt2,all-12-100-80,0.10245102269785104
taobao,matches,fla_plr-gan,all-12-100-80,0.010569230352939054
000webhost,matches,fla_vgpt2,all-12-100-80,0.0029215970798988737
mailru,matches,passgan_passgpt,all-12-100-80,0.0208746575989421
000webhost,matches,passflow_passgan,all-12-100-80,0.6481773823191733
mailru,matches,passgan_plr-gan,all-12-100-80,0.13501017025764653
taobao,matches,fla_vgpt2,all-12-100-80,0.006674543831007766
mailru,matches,passgan_vgpt2,all-12-100-80,0.29488564205428885
mailru,matches,passgpt_plr-gan,all-12-100-80,0.02650718607229323
taobao,matches,passflow_passgan,all-12-100-80,0.12208858173290457
000webhost,matches,passflow_passgpt,all-12-100-80,0.026325143553739317
mailru,matches,passgpt_vgpt2,all-12-100-80,0.023106789359343384
000webhost,matches,passflow_plr-gan,all-12-100-80,0.2034137825930339
000webhost,matches,passflow_vgpt2,all-12-100-80,0.5425337256027555
mailru,matches,plr-gan_vgpt2,all-12-100-80,0.15503846769561083
taobao,matches,passflow_passgpt,all-12-100-80,0.12230751176213286
000webhost,matches,passgan_passgpt,all-12-100-80,0.024936721845694343
rockyou,matches,fla_passgan,all-12-100-80,0.006077110408526307
linkedin,matches,fla_passgan,all-12-100-80,0.0063796797466301475
taobao,matches,passflow_plr-gan,all-12-100-80,0.2525583171958001
000webhost,matches,passgan_plr-gan,all-12-100-80,0.19706835877968357
000webhost,matches,passgan_vgpt2,all-12-100-80,0.6066114490947738
taobao,matches,passflow_vgpt2,all-12-100-80,0.1442606640965054
000webhost,matches,passgpt_plr-gan,all-12-100-80,0.04961341282166892
000webhost,matches,passgpt_vgpt2,all-12-100-80,0.022329256335568645
taobao,matches,passgan_passgpt,all-12-100-80,0.06240865010188514
000webhost,matches,plr-gan_vgpt2,all-12-100-80,0.1821607692094544
taobao,matches,passgan_plr-gan,all-12-100-80,0.19789311232338822
taobao,matches,passgan_vgpt2,all-12-100-80,0.38080232223646016
taobao,matches,passgpt_plr-gan,all-12-100-80,0.07990782328528906
taobao,matches,passgpt_vgpt2,all-12-100-80,0.05556740955693299
taobao,matches,plr-gan_vgpt2,all-12-100-80,0.20017874846769584
rockyou,matches,fla_passgpt,all-12-100-80,0.044717764174907366
rockyou,matches,fla_plr-gan,all-12-100-80,0.009472271636202624
linkedin,matches,fla_passgpt,all-12-100-80,0.14038269267147746
rockyou,matches,fla_vgpt2,all-12-100-80,0.008226456719826615
rockyou,matches,passflow_passgan,all-12-100-80,0.18804273669511198
linkedin,matches,fla_plr-gan,all-12-100-80,0.012809198590076733
rockyou,matches,passflow_passgpt,all-12-100-80,0.05735809369271913
linkedin,matches,fla_vgpt2,all-12-100-80,0.009407473716760283
rockyou,matches,passflow_plr-gan,all-12-100-80,0.277318845342591
linkedin,matches,passflow_passgan,all-12-100-80,0.6319785887199844
rockyou,matches,passflow_vgpt2,all-12-100-80,0.2713096301361765
rockyou,matches,passgan_passgpt,all-12-100-80,0.03795546741188137
linkedin,matches,passflow_passgpt,all-12-100-80,0.03304249211567623
rockyou,matches,passgan_plr-gan,all-12-100-80,0.1589805027575781
linkedin,matches,passflow_plr-gan,all-12-100-80,0.19272319076527294
rockyou,matches,passgan_vgpt2,all-12-100-80,0.20650570175150987
linkedin,matches,passflow_vgpt2,all-12-100-80,0.24905177716419938
rockyou,matches,passgpt_plr-gan,all-12-100-80,0.06192253372997987
rockyou,matches,passgpt_vgpt2,all-12-100-80,0.05338561855824995
linkedin,matches,passgan_passgpt,all-12-100-80,0.035331302806745665
rockyou,matches,plr-gan_vgpt2,all-12-100-80,0.26705595365602625
linkedin,matches,passgan_plr-gan,all-12-100-80,0.20073878765728606
linkedin,matches,passgan_vgpt2,all-12-100-80,0.3182121363365096
linkedin,matches,passgpt_plr-gan,all-12-100-80,0.07709447555885916
linkedin,matches,passgpt_vgpt2,all-12-100-80,0.0541250634758592
linkedin,matches,plr-gan_vgpt2,all-12-100-80,0.33594032748213254
ashleymadison,matches,fla_passflow,all-12-100-80,0.01151615745578984
ashleymadison,matches,fla_passgan,all-12-100-80,0.00950800188520727
ashleymadison,matches,fla_passgpt,all-12-100-80,0.022376590643634352
gmail,matches,fla_passflow,all-12-100-80,0.01156067939631123
ashleymadison,matches,fla_plr-gan,all-12-100-80,0.009917829552673101
ashleymadison,matches,fla_vgpt2,all-12-100-80,0.0007581811848117867
ashleymadison,matches,passflow_passgan,all-12-100-80,0.18816160350767303
ashleymadison,matches,passflow_passgpt,all-12-100-80,0.03212055715658021
libero,matches,fla_passflow,all-12-100-80,0.0016265730673743685
ashleymadison,matches,passflow_plr-gan,all-12-100-80,0.15924262653234617
ashleymadison,matches,passflow_vgpt2,all-12-100-80,0.011726570693107065
libero,matches,fla_passgan,all-12-100-80,0.00539337385497817
ashleymadison,matches,passgan_passgpt,all-12-100-80,0.03803434197886647
ashleymadison,matches,passgan_plr-gan,all-12-100-80,0.29433183638791116
ashleymadison,matches,passgan_vgpt2,all-12-100-80,0.00576224477013654
ashleymadison,matches,passgpt_plr-gan,all-12-100-80,0.03629322766570605
ashleymadison,matches,passgpt_vgpt2,all-12-100-80,0.0012908261287223823
ashleymadison,matches,plr-gan_vgpt2,all-12-100-80,0.0055221797439165
libero,matches,fla_passgpt,all-12-100-80,0.016385583426076534
gmail,matches,fla_passgan,all-12-100-80,0.006410003647368473
libero,matches,fla_plr-gan,all-12-100-80,0.005907028507833234
libero,matches,fla_vgpt2,all-12-100-80,0.00011985275233284822
libero,matches,passflow_passgan,all-12-100-80,0.08484248255046217
libero,matches,passflow_passgpt,all-12-100-80,0.009152331208970244
libero,matches,passflow_plr-gan,all-12-100-80,0.05213648666637086
libero,matches,passflow_vgpt2,all-12-100-80,0.003968603933327454
libero,matches,passgan_passgpt,all-12-100-80,0.026043413675787053
libero,matches,passgan_plr-gan,all-12-100-80,0.22367662066823446
libero,matches,passgan_vgpt2,all-12-100-80,0.0013204432916764915
libero,matches,passgpt_plr-gan,all-12-100-80,0.028966409506924147
libero,matches,passgpt_vgpt2,all-12-100-80,0.00031146676889165747
libero,matches,plr-gan_vgpt2,all-12-100-80,0.0013754547874700507
gmail,matches,fla_passgpt,all-12-100-80,0.024087418550318897
gmail,matches,fla_plr-gan,all-12-100-80,0.009180032136273572
gmail,matches,fla_vgpt2,all-12-100-80,0.008494918328519464
gmail,matches,passflow_passgan,all-12-100-80,0.33188802592613287
mailru,matches,fla_passflow,all-12-100-80,0.004373986826924481
000webhost,matches,fla_passflow,all-12-100-80,0.0035349379927296664
gmail,matches,passflow_passgpt,all-12-100-80,0.03081541487937488
taobao,matches,fla_passflow,all-12-100-80,0.010635975791249131
mailru,matches,fla_passgan,all-12-100-80,0.002446219677829217
gmail,matches,passflow_plr-gan,all-12-100-80,0.17437061327345713
gmail,matches,passflow_vgpt2,all-12-100-80,0.30113771158031544
000webhost,matches,fla_passgan,all-12-100-80,0.003341959998204856
mailru,matches,fla_passgpt,all-12-100-80,0.009167847180640544
taobao,matches,fla_passgan,all-12-100-80,0.008290865796570727
linkedin,matches,fla_passflow,all-12-100-80,0.0073354339181763185
gmail,matches,passgan_passgpt,all-12-100-80,0.028807273025327176
mailru,matches,fla_plr-gan,all-12-100-80,0.0028514889080367444
gmail,matches,passgan_plr-gan,all-12-100-80,0.17188295062635792
gmail,matches,passgan_vgpt2,all-12-100-80,0.3260786599139754
mailru,matches,fla_vgpt2,all-12-100-80,0.002920859316811006
gmail,matches,passgpt_plr-gan,all-12-100-80,0.043642933253189804
mailru,matches,passflow_passgan,all-12-100-80,0.10044014844221973
000webhost,matches,fla_passgpt,all-12-100-80,0.015822699597588523
taobao,matches,fla_passgpt,all-12-100-80,0.021499246858905554
gmail,matches,passgpt_vgpt2,all-12-100-80,0.037867817819185266
mailru,matches,passflow_passgpt,all-12-100-80,0.04235581870516473
gmail,matches,plr-gan_vgpt2,all-12-100-80,0.2274173747294285
rockyou,matches,fla_passflow,all-12-100-80,0.01006265002213919
mailru,matches,passflow_plr-gan,all-12-100-80,0.15147147665487184
000webhost,matches,fla_plr-gan,all-12-100-80,0.0060840426645922775
taobao,matches,fla_plr-gan,all-12-100-80,0.010569230352939054
mailru,matches,passflow_vgpt2,all-12-100-80,0.10245102269785104
mailru,matches,passgan_passgpt,all-12-100-80,0.0208746575989421
000webhost,matches,fla_vgpt2,all-12-100-80,0.0029215970798988737
taobao,matches,fla_vgpt2,all-12-100-80,0.006674543831007766
000webhost,matches,passflow_passgan,all-12-100-80,0.6481773823191733
mailru,matches,passgan_plr-gan,all-12-100-80,0.13501017025764653
mailru,matches,passgan_vgpt2,all-12-100-80,0.29488564205428885
taobao,matches,passflow_passgan,all-12-100-80,0.12208858173290457
mailru,matches,passgpt_plr-gan,all-12-100-80,0.02650718607229323
000webhost,matches,passflow_passgpt,all-12-100-80,0.026325143553739317
mailru,matches,passgpt_vgpt2,all-12-100-80,0.023106789359343384
mailru,matches,plr-gan_vgpt2,all-12-100-80,0.15503846769561083
000webhost,matches,passflow_plr-gan,all-12-100-80,0.2034137825930339
taobao,matches,passflow_passgpt,all-12-100-80,0.12230751176213286
000webhost,matches,passflow_vgpt2,all-12-100-80,0.5425337256027555
linkedin,matches,fla_passgan,all-12-100-80,0.0063796797466301475
taobao,matches,passflow_plr-gan,all-12-100-80,0.2525583171958001
000webhost,matches,passgan_passgpt,all-12-100-80,0.024936721845694343
rockyou,matches,fla_passgan,all-12-100-80,0.006077110408526307
taobao,matches,passflow_vgpt2,all-12-100-80,0.1442606640965054
000webhost,matches,passgan_plr-gan,all-12-100-80,0.19706835877968357
000webhost,matches,passgan_vgpt2,all-12-100-80,0.6066114490947738
000webhost,matches,passgpt_plr-gan,all-12-100-80,0.04961341282166892
taobao,matches,passgan_passgpt,all-12-100-80,0.06240865010188514
000webhost,matches,passgpt_vgpt2,all-12-100-80,0.022329256335568645
taobao,matches,passgan_plr-gan,all-12-100-80,0.19789311232338822
000webhost,matches,plr-gan_vgpt2,all-12-100-80,0.1821607692094544
taobao,matches,passgan_vgpt2,all-12-100-80,0.38080232223646016
taobao,matches,passgpt_plr-gan,all-12-100-80,0.07990782328528906
taobao,matches,passgpt_vgpt2,all-12-100-80,0.05556740955693299
taobao,matches,plr-gan_vgpt2,all-12-100-80,0.20017874846769584
rockyou,matches,fla_passgpt,all-12-100-80,0.044717764174907366
linkedin,matches,fla_passgpt,all-12-100-80,0.14038269267147746
rockyou,matches,fla_plr-gan,all-12-100-80,0.009472271636202624
rockyou,matches,fla_vgpt2,all-12-100-80,0.008226456719826615
linkedin,matches,fla_plr-gan,all-12-100-80,0.012809198590076733
rockyou,matches,passflow_passgan,all-12-100-80,0.18804273669511198
linkedin,matches,fla_vgpt2,all-12-100-80,0.009407473716760283
rockyou,matches,passflow_passgpt,all-12-100-80,0.05735809369271913
linkedin,matches,passflow_passgan,all-12-100-80,0.6319785887199844
rockyou,matches,passflow_plr-gan,all-12-100-80,0.277318845342591
rockyou,matches,passflow_vgpt2,all-12-100-80,0.2713096301361765
linkedin,matches,passflow_passgpt,all-12-100-80,0.03304249211567623
rockyou,matches,passgan_passgpt,all-12-100-80,0.03795546741188137
linkedin,matches,passflow_plr-gan,all-12-100-80,0.19272319076527294
rockyou,matches,passgan_plr-gan,all-12-100-80,0.1589805027575781
linkedin,matches,passflow_vgpt2,all-12-100-80,0.24905177716419938
rockyou,matches,passgan_vgpt2,all-12-100-80,0.20650570175150987
rockyou,matches,passgpt_plr-gan,all-12-100-80,0.06192253372997987
linkedin,matches,passgan_passgpt,all-12-100-80,0.035331302806745665
rockyou,matches,passgpt_vgpt2,all-12-100-80,0.05338561855824995
linkedin,matches,passgan_plr-gan,all-12-100-80,0.20073878765728606
rockyou,matches,plr-gan_vgpt2,all-12-100-80,0.26705595365602625
linkedin,matches,passgan_vgpt2,all-12-100-80,0.3182121363365096
linkedin,matches,passgpt_plr-gan,all-12-100-80,0.07709447555885916
linkedin,matches,passgpt_vgpt2,all-12-100-80,0.0541250634758592
linkedin,matches,plr-gan_vgpt2,all-12-100-80,0.33594032748213254
