model,train-dataset,test-settings,test-hash,n_samples,matches,match_percentage,#uniques,
hashcat,rockyou,all-12-100-80,NONE,1000000,35269,1.04,949962,
hashcat,rockyou,all-12-100-80,NONE,2500000,74268,2.18,2363407,
hashcat,rockyou,all-12-100-80,NONE,5000000,126063,3.70,4701527,
hashcat,rockyou,all-12-100-80,NONE,7500000,167811,4.93,7026420,
hashcat,rockyou,all-12-100-80,NONE,10000000,203114,5.96,9344474,
hashcat,rockyou,all-12-100-80,NONE,25000000,354335,10.40,23159569,
hashcat,rockyou,all-12-100-80,NONE,50000000,499797,14.67,46117445,
hashcat,rockyou,all-12-100-80,NONE,75000000,600571,17.63,68993748,
hashcat,rockyou,all-12-100-80,NONE,100000000,686530,20.16,91694055,
hashcat,rockyou,all-12-100-80,NONE,250000000,921243,27.05,230084776,
hashcat,rockyou,all-12-100-80,NONE,500000000,1155317,33.92,458447955,
hashcat,ashleymadison,all-12-100-80,NONE,1000000,1271,1.71,934359,
hashcat,ashleymadison,all-12-100-80,NONE,2500000,2848,3.83,2330962,
hashcat,ashleymadison,all-12-100-80,NONE,5000000,5023,6.76,4647482,
hashcat,ashleymadison,all-12-100-80,NONE,7500000,6825,9.18,6956214,
hashcat,ashleymadison,all-12-100-80,NONE,10000000,8519,11.46,9254433,
hashcat,ashleymadison,all-12-100-80,NONE,25000000,15358,20.66,22908423,
hashcat,ashleymadison,all-12-100-80,NONE,50000000,22526,30.31,45305964,
hashcat,ashleymadison,all-12-100-80,NONE,75000000,27596,37.13,67293098,
hashcat,ashleymadison,all-12-100-80,NONE,100000000,29455,39.63,87700103,
hashcat,ashleymadison,all-12-100-80,NONE,250000000,35309,47.51,208936507,
hashcat,ashleymadison,all-12-100-80,NONE,500000000,39251,52.81,409690995,
hashcat,000webhost,all-12-100-80,NONE,1000000,9444,0.46,937050,
hashcat,000webhost,all-12-100-80,NONE,2500000,18271,0.88,2339459,
hashcat,000webhost,all-12-100-80,NONE,5000000,29564,1.43,4672969,
hashcat,000webhost,all-12-100-80,NONE,7500000,38261,1.85,7004229,
hashcat,000webhost,all-12-100-80,NONE,10000000,46241,2.23,9331620,
hashcat,000webhost,all-12-100-80,NONE,25000000,79026,3.82,23273667,
hashcat,000webhost,all-12-100-80,NONE,50000000,116027,5.60,46432848,
hashcat,000webhost,all-12-100-80,NONE,75000000,138653,6.70,69618725,
hashcat,000webhost,all-12-100-80,NONE,100000000,159408,7.70,92748732,
hashcat,000webhost,all-12-100-80,NONE,250000000,224205,10.83,232082933,
hashcat,000webhost,all-12-100-80,NONE,500000000,275027,13.28,464967526,
hashcat,gmail,all-12-100-80,NONE,1000000,12285,1.72,930730,
hashcat,gmail,all-12-100-80,NONE,2500000,25810,3.60,2312081,
hashcat,gmail,all-12-100-80,NONE,5000000,41653,5.82,4597393,
hashcat,gmail,all-12-100-80,NONE,7500000,53594,7.49,6869480,
hashcat,gmail,all-12-100-80,NONE,10000000,63561,8.88,9135092,
hashcat,gmail,all-12-100-80,NONE,25000000,100025,13.97,22722526,
hashcat,gmail,all-12-100-80,NONE,50000000,133782,18.69,45262095,
hashcat,gmail,all-12-100-80,NONE,75000000,146491,20.46,68267428,
hashcat,gmail,all-12-100-80,NONE,100000000,157800,22.04,91214633,
hashcat,gmail,all-12-100-80,NONE,250000000,207387,28.97,227898379,
hashcat,gmail,all-12-100-80,NONE,500000000,258282,36.08,452831065,
hashcat,libero,all-12-100-80,NONE,1000000,4297,4.54,933226,
hashcat,libero,all-12-100-80,NONE,2500000,8074,8.53,2313503,
hashcat,libero,all-12-100-80,NONE,5000000,11976,12.66,4603757,
hashcat,libero,all-12-100-80,NONE,7500000,14654,15.49,6883100,
hashcat,libero,all-12-100-80,NONE,10000000,15910,16.82,9207406,
hashcat,libero,all-12-100-80,NONE,25000000,21535,22.76,23099931,
hashcat,libero,all-12-100-80,NONE,50000000,27702,29.28,46109610,
hashcat,libero,all-12-100-80,NONE,75000000,32618,34.47,68487578,
hashcat,libero,all-12-100-80,NONE,100000000,34545,36.51,90050947,
hashcat,libero,all-12-100-80,NONE,250000000,40379,42.68,219820515,
hashcat,libero,all-12-100-80,NONE,500000000,44102,46.61,434456491,
hashcat,mailru,all-12-100-80,NONE,1000000,18488,3.71,908310,
hashcat,mailru,all-12-100-80,NONE,2500000,31609,6.34,2257893,
hashcat,mailru,all-12-100-80,NONE,5000000,44731,8.97,4506895,
hashcat,mailru,all-12-100-80,NONE,7500000,53685,10.77,6755646,
hashcat,mailru,all-12-100-80,NONE,10000000,60849,12.21,9001660,
hashcat,mailru,all-12-100-80,NONE,25000000,80183,16.09,22703390,
hashcat,mailru,all-12-100-80,NONE,50000000,99335,19.93,45523966,
hashcat,mailru,all-12-100-80,NONE,75000000,109393,21.95,68497351,
hashcat,mailru,all-12-100-80,NONE,100000000,117955,23.66,91398074,
hashcat,mailru,all-12-100-80,NONE,250000000,152861,30.67,227646260,
hashcat,mailru,all-12-100-80,NONE,500000000,185164,37.15,442679097,
hashcat,linkedin,all-12-100-80,NONE,1000000,22166,0.22,964845,
hashcat,linkedin,all-12-100-80,NONE,2500000,51971,0.52,2402923,
hashcat,linkedin,all-12-100-80,NONE,5000000,69049,0.69,4800955,
hashcat,linkedin,all-12-100-80,NONE,7500000,76979,0.77,7200346,
hashcat,linkedin,all-12-100-80,NONE,10000000,84668,0.85,9598166,
hashcat,linkedin,all-12-100-80,NONE,25000000,130437,1.31,23963258,
hashcat,linkedin,all-12-100-80,NONE,50000000,202337,2.03,47844105,
hashcat,linkedin,all-12-100-80,NONE,75000000,269484,2.70,71664940,
hashcat,linkedin,all-12-100-80,NONE,100000000,333532,3.34,95436657,
hashcat,linkedin,all-12-100-80,NONE,250000000,666999,6.68,237216712,
hashcat,linkedin,all-12-100-80,NONE,500000000,1100053,11.02,471169066,
hashcat,taobao,all-12-100-80,NONE,1000000,16066,1.32,910540,
hashcat,taobao,all-12-100-80,NONE,2500000,27523,2.26,2267158,
hashcat,taobao,all-12-100-80,NONE,5000000,39626,3.26,4522200,
hashcat,taobao,all-12-100-80,NONE,7500000,48954,4.02,6767637,
hashcat,taobao,all-12-100-80,NONE,10000000,56301,4.63,9013830,
hashcat,taobao,all-12-100-80,NONE,25000000,83272,6.84,22513095,
hashcat,taobao,all-12-100-80,NONE,50000000,110216,9.05,44986886,
hashcat,taobao,all-12-100-80,NONE,75000000,121165,9.95,67912122,
hashcat,taobao,all-12-100-80,NONE,100000000,131101,10.77,90789038,
hashcat,taobao,all-12-100-80,NONE,250000000,179149,14.72,227322023,
hashcat,taobao,all-12-100-80,NONE,500000000,235960,19.38,452575381,
jtr,rockyou,all-12-100-80,NONE,1000000,422,0.12,999997,
jtr,rockyou,all-12-100-80,NONE,2500000,1058,0.03,2499988,
jtr,rockyou,all-12-100-80,NONE,5000000,​​2111,0.06,4999944,
jtr,rockyou,all-12-100-80,NONE,7500000,3159,0.09,7499876,
jtr,rockyou,all-12-100-80,NONE,10000000,4352,0.12,9999776,
jtr,rockyou,all-12-100-80,NONE,25000000,11918,0.34,24998452,
jtr,rockyou,all-12-100-80,NONE,50000000,24010,0.7,49993611,
jtr,rockyou,all-12-100-80,NONE,75000000,35537,1.04,74985543,
jtr,rockyou,all-12-100-80,NONE,100000000,47020,1.38,99974484,
jtr,rockyou,all-12-100-80,NONE,250000000,127113,3.73,249840552,
jtr,rockyou,all-12-100-80,NONE,500000000,235155,6.9,499398990,
jtr,ashleymadison,all-12-100-80,NONE,1000000,1402,1.88%,1000000,
jtr,ashleymadison,all-12-100-80,NONE,2500000,3100,4.17%,2500000,
jtr,ashleymadison,all-12-100-80,NONE,5000000,5367,7.22%,4999993,
jtr,ashleymadison,all-12-100-80,NONE,7500000,7070,9.51%,7499963,
jtr,ashleymadison,all-12-100-80,NONE,10000000,8307,11.17%,9999832,
jtr,ashleymadison,all-12-100-80,NONE,25000000,13520,18.19%,24992535,
jtr,ashleymadison,all-12-100-80,NONE,50000000,16909,22.75%,49915956,
jtr,ashleymadison,all-12-100-80,NONE,75000000,19236,25.88%,74737190,
jtr,ashleymadison,all-12-100-80,NONE,100000000,20825,28.02%,99513625,
jtr,ashleymadison,all-12-100-80,NONE,250000000,25647,34.50%,247470402,
jtr,ashleymadison,all-12-100-80,NONE,500000000,28470,38.30%,494668142,
jtr,000webhost,all-12-100-80,NONE,1000000,115,0.00%,999999,
jtr,000webhost,all-12-100-80,NONE,2500000,241,0.01%,2499993,
jtr,000webhost,all-12-100-80,NONE,5000000,498,0.02%,4999971,
jtr,000webhost,all-12-100-80,NONE,7500000,897,0.04%,7499951,
jtr,000webhost,all-12-100-80,NONE,10000000,1232,0.05%,9999909,
jtr,000webhost,all-12-100-80,NONE,25000000,3884,0.18%,24999097,
jtr,000webhost,all-12-100-80,NONE,50000000,7516,0.36%,49996511,
jtr,000webhost,all-12-100-80,NONE,75000000,12659,0.61%,74992299,
jtr,000webhost,all-12-100-80,NONE,100000000,15991,0.77%,99985943,
jtr,000webhost,all-12-100-80,NONE,250000000,36255,1.75%,249915211,
jtr,000webhost,all-12-100-80,NONE,500000000,63714,3.07%,499690850,
jtr,gmail,all-12-100-80,NONE,1000000,128,0.01%,999998,
jtr,gmail,all-12-100-80,NONE,2500000,658,0.09%,2499981,
jtr,gmail,all-12-100-80,NONE,5000000,1350,0.18%,4999933,
jtr,gmail,all-12-100-80,NONE,7500000,1951,0.27%,7499840,
jtr,gmail,all-12-100-80,NONE,10000000,2784,0.38%,9999720,
jtr,gmail,all-12-100-80,NONE,25000000,6714,0.93%,24997397,
jtr,gmail,all-12-100-80,NONE,50000000,14972,2.09%,49985412,
jtr,gmail,all-12-100-80,NONE,75000000,19001,2.65%,74970521,
jtr,gmail,all-12-100-80,NONE,100000000,27720,3.87%,99941482,
jtr,gmail,all-12-100-80,NONE,250000000,55807,7.79%,249673746,
jtr,gmail,all-12-100-80,NONE,500000000,90387,12.62%,498831354,
jtr,libero,all-12-100-80,NONE,1000000,1104,1.16%,1000000,
jtr,libero,all-12-100-80,NONE,2500000,2009,2.12%,2500000,
jtr,libero,all-12-100-80,NONE,5000000,6750,7.13%,4999998,
jtr,libero,all-12-100-80,NONE,7500000,7730,8.16%,7499987,
jtr,libero,all-12-100-80,NONE,10000000,8201,8.66%,9999927,
jtr,libero,all-12-100-80,NONE,25000000,14132,14.93%,24996438,
jtr,libero,all-12-100-80,NONE,50000000,17392,18.38%,49947906,
jtr,libero,all-12-100-80,NONE,75000000,22153,23.41%,74851112,
jtr,libero,all-12-100-80,NONE,100000000,25062,26.48%,99729410,
jtr,libero,all-12-100-80,NONE,250000000,30967,32.72%,248423672,
jtr,libero,all-12-100-80,NONE,500000000,34979,36.96%,496746880,
jtr,mailru,all-12-100-80,NONE,1000000,124,0.02%,999996,
jtr,mailru,all-12-100-80,NONE,2500000,467,0.09%,2499986,
jtr,mailru,all-12-100-80,NONE,5000000,1223,0.24%,4999937,
jtr,mailru,all-12-100-80,NONE,7500000,2123,0.42%,7499848,
jtr,mailru,all-12-100-80,NONE,10000000,2629,0.52%,9999718,
jtr,mailru,all-12-100-80,NONE,25000000,8185,1.64%,24996383,
jtr,mailru,all-12-100-80,NONE,50000000,14034,2.81%,49982144,
jtr,mailru,all-12-100-80,NONE,75000000,21556,4.32%,74960182,
jtr,mailru,all-12-100-80,NONE,100000000,29532,5.92%,99927969,
jtr,mailru,all-12-100-80,NONE,250000000,51358,10.30%,249634557,
jtr,mailru,all-12-100-80,NONE,500000000,81423,16.33%,498678886,
jtr,linkedin,all-12-100-80,NONE,1000000,351,0.00%,999999,
jtr,linkedin,all-12-100-80,NONE,2500000,845,0.00%,2499992,
jtr,linkedin,all-12-100-80,NONE,5000000,1685,0.01%,4999976,
jtr,linkedin,all-12-100-80,NONE,7500000,2587,0.02%,7499947,
jtr,linkedin,all-12-100-80,NONE,10000000,3444,0.03%,9999920,
jtr,linkedin,all-12-100-80,NONE,25000000,8340,0.08%,24999432,
jtr,linkedin,all-12-100-80,NONE,50000000,16959,0.16%,49997570,
jtr,linkedin,all-12-100-80,NONE,75000000,25773,0.25%,74994599,
jtr,linkedin,all-12-100-80,NONE,100000000,35282,0.35%,99990298,
jtr,linkedin,all-12-100-80,NONE,250000000,86290,0.86%,249942071,
jtr,linkedin,all-12-100-80,NONE,500000000,170836,1.71%,499771324,
jtr,taobao,all-12-100-80,NONE,1000000,133,0.01%,999995,
jtr,taobao,all-12-100-80,NONE,2500000,326,0.02%,2499979,
jtr,taobao,all-12-100-80,NONE,5000000,794,0.06%,4999944,
jtr,taobao,all-12-100-80,NONE,7500000,1256,0.10%,7499876,
jtr,taobao,all-12-100-80,NONE,10000000,1647,0.13%,9999755,
jtr,taobao,all-12-100-80,NONE,25000000,4323,0.35%,24998081,
jtr,taobao,all-12-100-80,NONE,50000000,8662,0.71%,49991749,
jtr,taobao,all-12-100-80,NONE,75000000,14603,1.19%,74979109,
jtr,taobao,all-12-100-80,NONE,100000000,20284,1.66%,99960715,
jtr,taobao,all-12-100-80,NONE,250000000,46311,3.80%,249776829,
jtr,taobao,all-12-100-80,NONE,500000000,79898,6.56%,499198900,
omen,libero,all-12-100-80,NONE,1000000,9946,10.51185304966338
omen,libero,all-12-100-80,NONE,2500000,15458,16.337444645254024
omen,libero,all-12-100-80,NONE,5000000,17007,17.974571165858144
omen,libero,all-12-100-80,NONE,7500000,18497,19.549341027510913
omen,libero,all-12-100-80,NONE,10000000,19161,20.251117663844763
omen,libero,all-12-100-80,NONE,25000000,24999,26.421256222454737
omen,libero,all-12-100-80,NONE,50000000,30276,31.998478074764574
omen,libero,all-12-100-80,NONE,75000000,31394,33.18008391726645
omen,libero,all-12-100-80,NONE,100000000,31618,33.41682784277667
omen,libero,all-12-100-80,NONE,250000000,38744,40.94824397307038
omen,libero,all-12-100-80,NONE,500000000,39774,42.03684327340753
omen,000webhost,all-12-100-80,NONE,1000000,30209,1.4590822788325601
omen,000webhost,all-12-100-80,NONE,2500000,40343,1.948550311991194
omen,000webhost,all-12-100-80,NONE,5000000,56953,2.7508064823844154
omen,000webhost,all-12-100-80,NONE,7500000,68977,3.3315607384234336
omen,000webhost,all-12-100-80,NONE,10000000,76799,3.7093601222172796
omen,000webhost,all-12-100-80,NONE,25000000,102802,4.965294330449365
omen,000webhost,all-12-100-80,NONE,50000000,138899,6.7087645882870595
omen,000webhost,all-12-100-80,NONE,75000000,146610,7.081202717721265
omen,000webhost,all-12-100-80,NONE,100000000,150657,7.276671153698469
omen,000webhost,all-12-100-80,NONE,250000000,226399,10.934978610527088
omen,000webhost,all-12-100-80,NONE,500000000,242688,11.721730612907292
omen,ashleymadison,all-12-100-80,NONE,1000000,6478,8.71624439929495
omen,ashleymadison,all-12-100-80,NONE,2500000,9702,13.054183878042544
omen,ashleymadison,all-12-100-80,NONE,5000000,12136,16.32916672272978
omen,ashleymadison,all-12-100-80,NONE,7500000,15286,20.567538111704632
omen,ashleymadison,all-12-100-80,NONE,10000000,16379,22.038185707942574
omen,ashleymadison,all-12-100-80,NONE,25000000,20111,27.05964666783278
omen,ashleymadison,all-12-100-80,NONE,50000000,25279,34.013266775204855
omen,ashleymadison,all-12-100-80,NONE,75000000,27335,36.77964505321511
omen,ashleymadison,all-12-100-80,NONE,100000000,27936,37.58829940393697
omen,ashleymadison,all-12-100-80,NONE,250000000,33529,45.11376327013899
omen,ashleymadison,all-12-100-80,NONE,500000000,36057,48.515224499132145
omen,gmail,all-12-100-80,NONE,1000000,36701,5.1261816434621315
omen,gmail,all-12-100-80,NONE,2500000,59869,8.3621527700181
omen,gmail,all-12-100-80,NONE,5000000,64699,9.036779001944264
omen,gmail,all-12-100-80,NONE,7500000,88090,12.303897467986681
omen,gmail,all-12-100-80,NONE,10000000,98120,13.704829374036247
omen,gmail,all-12-100-80,NONE,25000000,116570,16.28181777549333
omen,gmail,all-12-100-80,NONE,50000000,150257,20.98702147630009
omen,gmail,all-12-100-80,NONE,75000000,168862,23.58565937381277
omen,gmail,all-12-100-80,NONE,100000000,171483,23.951745368404588
omen,gmail,all-12-100-80,NONE,250000000,200251,27.969891836324223
omen,gmail,all-12-100-80,NONE,500000000,244703,34.17868795673453
omen,linkedin,all-12-100-80,NONE,1000000,45514,0.4558823588331239
omen,linkedin,all-12-100-80,NONE,2500000,66750,0.6685887298877492
omen,linkedin,all-12-100-80,NONE,5000000,123956,1.2415817917897503
omen,linkedin,all-12-100-80,NONE,7500000,176453,1.767408047264165
omen,linkedin,all-12-100-80,NONE,10000000,195419,1.9573773933473266
omen,linkedin,all-12-100-80,NONE,25000000,317666,3.1818413103898386
omen,linkedin,all-12-100-80,NONE,50000000,527814,5.286748941977115
omen,linkedin,all-12-100-80,NONE,75000000,572558,5.73491874167895
omen,linkedin,all-12-100-80,NONE,100000000,611686,6.126836941275172
omen,linkedin,all-12-100-80,NONE,250000000,1170677,11.725864397585028
omen,linkedin,all-12-100-80,NONE,500000000,1339741,13.419261926120496
omen,rockyou,all-12-100-80,NONE,1000000,107462,3.1551793186630697
omen,rockyou,all-12-100-80,NONE,2500000,239469,7.031021535621211
omen,rockyou,all-12-100-80,NONE,5000000,281283,8.258717540074672
omen,rockyou,all-12-100-80,NONE,7500000,297865,8.74557971891064
omen,rockyou,all-12-100-80,NONE,10000000,458860,13.47253524186909
omen,rockyou,all-12-100-80,NONE,25000000,579137,17.00397428926108
omen,rockyou,all-12-100-80,NONE,50000000,619687,18.194558136312015
omen,rockyou,all-12-100-80,NONE,75000000,879562,25.82471787126544
omen,rockyou,all-12-100-80,NONE,100000000,948258,27.841693159971015
omen,rockyou,all-12-100-80,NONE,250000000,1045544,30.698096122836542
omen,rockyou,all-12-100-80,NONE,500000000,1372347,40.29332110354644
omen,mailru,all-12-100-80,NONE,1000000,52321,10.497013664715901
omen,mailru,all-12-100-80,NONE,2500000,70507,14.14561920563682
omen,mailru,all-12-100-80,NONE,5000000,78061,15.661156776082032
omen,mailru,all-12-100-80,NONE,7500000,81749,16.401069744019807
omen,mailru,all-12-100-80,NONE,10000000,92138,18.485385314493104
omen,mailru,all-12-100-80,NONE,25000000,112800,22.63074370482127
omen,mailru,all-12-100-80,NONE,50000000,117954,23.664776090057522
omen,mailru,all-12-100-80,NONE,75000000,146953,29.48276311750532
omen,mailru,all-12-100-80,NONE,100000000,150078,30.10972299407949
omen,mailru,all-12-100-80,NONE,250000000,168788,33.863457167104364
omen,mailru,all-12-100-80,NONE,500000000,191478,38.41568743893411
omen,taobao,all-12-100-80,NONE,1000000,28288,2.323844793324204
omen,taobao,all-12-100-80,NONE,2500000,47758,3.9232953775303074
omen,taobao,all-12-100-80,NONE,5000000,57921,4.758180651659051
omen,taobao,all-12-100-80,NONE,7500000,65207,5.356721841002947
omen,taobao,all-12-100-80,NONE,10000000,79875,6.561690570799307
omen,taobao,all-12-100-80,NONE,25000000,148712,12.216615063094917
omen,taobao,all-12-100-80,NONE,50000000,166091,13.644291062217558
omen,taobao,all-12-100-80,NONE,75000000,203679,16.732126119184123
omen,taobao,all-12-100-80,NONE,100000000,248089,20.38038500180318
omen,taobao,all-12-100-80,NONE,250000000,302496,24.84989234309242
omen,taobao,all-12-100-80,NONE,500000000,344357,28.288752173880898
pcfg,libero,all-12-100-80,NONE,1000000,24268,25.648667786972744
pcfg,libero,all-12-100-80,NONE,2500000,27947,29.5369753849731
pcfg,libero,all-12-100-80,NONE,5000000,29765,31.4584059946944
pcfg,libero,all-12-100-80,NONE,7500000,30875,32.63155669699948
pcfg,libero,all-12-100-80,NONE,10000000,31628,33.42739676802266
pcfg,libero,all-12-100-80,NONE,25000000,34166,36.10978999545536
pcfg,libero,all-12-100-80,NONE,50000000,36059,38.1104875445216
pcfg,libero,all-12-100-80,NONE,75000000,37059,39.167380069120775
pcfg,libero,all-12-100-80,NONE,100000000,37681,39.82476721942146
pcfg,libero,all-12-100-80,NONE,250000000,39595,41.847659511504276
pcfg,libero,all-12-100-80,NONE,500000000,40781,43.1011340456789
pcfg,000webhost,all-12-100-80,NONE,1000000,171403,8.278694423474372
pcfg,000webhost,all-12-100-80,NONE,2500000,233297,11.26814917424608
pcfg,000webhost,all-12-100-80,NONE,5000000,278573,13.45496135791396
pcfg,000webhost,all-12-100-80,NONE,7500000,302161,14.59425205913222
pcfg,000webhost,all-12-100-80,NONE,10000000,320030,15.457317411856872
pcfg,000webhost,all-12-100-80,NONE,25000000,385495,18.6192499943248
pcfg,000webhost,all-12-100-80,NONE,50000000,434938,21.007326564628954
pcfg,000webhost,all-12-100-80,NONE,75000000,467840,22.596479636168855
pcfg,000webhost,all-12-100-80,NONE,100000000,488606,23.599468897721273
pcfg,000webhost,all-12-100-80,NONE,250000000,550005,26.565015352024307
pcfg,000webhost,all-12-100-80,NONE,500000000,595940,28.78365696472826
pcfg,gmail,all-12-100-80,NONE,1000000,73624,10.283370952242608
pcfg,gmail,all-12-100-80,NONE,2500000,131837,18.414223299886025
pcfg,gmail,all-12-100-80,NONE,5000000,155570,21.729110331418866
pcfg,gmail,all-12-100-80,NONE,7500000,166432,23.246251145328177
pcfg,gmail,all-12-100-80,NONE,10000000,173832,24.279839989273025
pcfg,gmail,all-12-100-80,NONE,25000000,195810,27.349598855789214
pcfg,gmail,all-12-100-80,NONE,50000000,212503,29.681179743893445
pcfg,gmail,all-12-100-80,NONE,75000000,222440,31.069121952309654
pcfg,gmail,all-12-100-80,NONE,100000000,229680,32.080362929358394
pcfg,gmail,all-12-100-80,NONE,250000000,256900,35.882293785058216
pcfg,gmail,all-12-100-80,NONE,500000000,276837,38.666977674480975
pcfg,ashleymadison,all-12-100-80,NONE,1000000,13767,18.523701241910093
pcfg,ashleymadison,all-12-100-80,NONE,2500000,16585,22.315361741634263
pcfg,ashleymadison,all-12-100-80,NONE,5000000,18635,25.07366693128456
pcfg,ashleymadison,all-12-100-80,NONE,7500000,20042,26.96680615169333
pcfg,ashleymadison,all-12-100-80,NONE,10000000,20804,27.99208837340725
pcfg,ashleymadison,all-12-100-80,NONE,25000000,23519,31.64516085628557
pcfg,ashleymadison,all-12-100-80,NONE,50000000,25785,34.69409722689415
pcfg,ashleymadison,all-12-100-80,NONE,75000000,26962,36.27776806017142
pcfg,ashleymadison,all-12-100-80,NONE,100000000,27739,37.323233002785216
pcfg,ashleymadison,all-12-100-80,NONE,250000000,29870,40.19052488529487
pcfg,ashleymadison,all-12-100-80,NONE,500000000,31261,42.0621358700771
pcfg,rockyou,all-12-100-80,NONE,1000000,290383,8.525901584665633
pcfg,rockyou,all-12-100-80,NONE,2500000,338100,9.926914887494965
pcfg,rockyou,all-12-100-80,NONE,5000000,598340,17.567791345116053
pcfg,rockyou,all-12-100-80,NONE,7500000,781478,22.944884922951168
pcfg,rockyou,all-12-100-80,NONE,10000000,872353,25.613055258358163
pcfg,rockyou,all-12-100-80,NONE,25000000,1069599,31.404372187961332
pcfg,rockyou,all-12-100-80,NONE,50000000,1188152,34.885193071301146
pcfg,rockyou,all-12-100-80,NONE,75000000,1256247,36.88452246871011
pcfg,rockyou,all-12-100-80,NONE,100000000,1302457,38.241288919319814
pcfg,rockyou,all-12-100-80,NONE,250000000,1438288,42.2294071567742
pcfg,rockyou,all-12-100-80,NONE,500000000,1540659,45.23511021488644
pcfg,linkedin,all-12-100-80,NONE,1000000,168648,1.689230743342459
pcfg,linkedin,all-12-100-80,NONE,2500000,232618,2.3299741298730856
pcfg,linkedin,all-12-100-80,NONE,5000000,323785,3.2431311147071895
pcfg,linkedin,all-12-100-80,NONE,7500000,497266,4.9807706869866895
pcfg,linkedin,all-12-100-80,NONE,10000000,692751,6.938809156830985
pcfg,linkedin,all-12-100-80,NONE,25000000,1374072,13.76313188395984
pcfg,linkedin,all-12-100-80,NONE,50000000,1884138,18.872111346116014
pcfg,linkedin,all-12-100-80,NONE,75000000,2150094,21.53600923744225
pcfg,linkedin,all-12-100-80,NONE,100000000,2342283,23.461033947680402
pcfg,linkedin,all-12-100-80,NONE,250000000,2948564,29.533732730378148
pcfg,linkedin,all-12-100-80,NONE,500000000,3363892,33.69378696269004
pcfg,mailru,all-12-100-80,NONE,1000000,84376,16.928117294663117
pcfg,mailru,all-12-100-80,NONE,2500000,114124,22.896374065328214
pcfg,mailru,all-12-100-80,NONE,5000000,128739,25.828540016090294
pcfg,mailru,all-12-100-80,NONE,7500000,135974,27.280077522334818
pcfg,mailru,all-12-100-80,NONE,10000000,140232,28.13434797175972
pcfg,mailru,all-12-100-80,NONE,25000000,154013,30.899190870661684
pcfg,mailru,all-12-100-80,NONE,50000000,164820,33.06736859422555
pcfg,mailru,all-12-100-80,NONE,75000000,171108,34.32891217947303
pcfg,mailru,all-12-100-80,NONE,100000000,175730,35.2562109153213
pcfg,mailru,all-12-100-80,NONE,250000000,190406,38.200615122874105
pcfg,mailru,all-12-100-80,NONE,500000000,200663,40.25844790816091
pcfg,taobao,all-12-100-80,NONE,1000000,53709,4.412166996770703
pcfg,taobao,all-12-100-80,NONE,2500000,69738,5.728941183429134
pcfg,taobao,all-12-100-80,NONE,5000000,104747,8.604912703843691
pcfg,taobao,all-12-100-80,NONE,7500000,125002,10.268850638260469
pcfg,taobao,all-12-100-80,NONE,10000000,134214,11.025611746719976
pcfg,taobao,all-12-100-80,NONE,25000000,176142,14.469975593386309
pcfg,taobao,all-12-100-80,NONE,50000000,205816,16.907679580840437
pcfg,taobao,all-12-100-80,NONE,75000000,223135,18.330426610520227
pcfg,taobao,all-12-100-80,NONE,100000000,237489,19.50960040023232
pcfg,taobao,all-12-100-80,NONE,250000000,285553,23.45803352192118
pcfg,taobao,all-12-100-80,NONE,500000000,318517,26.166009333825137